Iris versicolor,4.70,1.40
Iris versicolor,4.50,1.50
Iris versicolor,4.90,1.50
Iris versicolor,4.00,1.30
Iris versicolor,4.60,1.50
Iris versicolor,4.50,1.30
Iris versicolor,4.70,1.60
Iris versicolor,3.30,1.00
Iris versicolor,4.60,1.30
Iris versicolor,3.90,1.40
Iris versicolor,3.50,1.00
Iris versicolor,4.20,1.50
Iris versicolor,4.00,1.00
Iris versicolor,4.70,1.40
Iris versicolor,3.60,1.30
Iris versicolor,4.40,1.40
Iris versicolor,4.50,1.50
Iris versicolor,4.10,1.00
Iris versicolor,4.50,1.50
Iris versicolor,3.90,1.10
Iris versicolor,4.80,1.80
Iris versicolor,4.00,1.30
Iris versicolor,4.90,1.50
Iris versicolor,4.70,1.20
Iris versicolor,4.30,1.30
Iris versicolor,4.40,1.40
Iris versicolor,4.80,1.40
Iris versicolor,5.00,1.70
Iris versicolor,4.50,1.50
Iris versicolor,3.50,1.00
Iris versicolor,3.80,1.10
Iris versicolor,3.70,1.00
Iris versicolor,3.90,1.20
Iris versicolor,5.10,1.60
Iris versicolor,4.50,1.50
Iris versicolor,4.50,1.60
Iris versicolor,4.70,1.50
Iris versicolor,4.40,1.30
Iris versicolor,4.10,1.30
Iris versicolor,4.00,1.30
Iris versicolor,4.40,1.20
Iris versicolor,4.60,1.40
Iris versicolor,4.00,1.20
Iris versicolor,3.30,1.00
Iris versicolor,4.20,1.30
Iris versicolor,4.20,1.20
Iris versicolor,4.20,1.30
Iris versicolor,4.30,1.30
Iris versicolor,3.00,1.10
Iris versicolor,4.10,1.30
Iris virginica,6.00,2.50
Iris virginica,5.10,1.90
Iris virginica,5.90,2.10
Iris virginica,5.60,1.80
Iris virginica,5.80,2.20
Iris virginica,6.60,2.10
Iris virginica,4.50,1.70
Iris virginica,6.30,1.80
Iris virginica,5.80,1.80
Iris virginica,6.10,2.50
Iris virginica,5.10,2.00
Iris virginica,5.30,1.90
Iris virginica,5.50,2.10
Iris virginica,5.00,2.00
Iris virginica,5.10,2.40
Iris virginica,5.30,2.30
Iris virginica,5.50,1.80
Iris virginica,6.70,2.20
Iris virginica,6.90,2.30
Iris virginica,5.00,1.50
Iris virginica,5.70,2.30
Iris virginica,4.90,2.00
Iris virginica,6.70,2.00
Iris virginica,4.90,1.80
Iris virginica,5.70,2.10
Iris virginica,6.00,1.80
Iris virginica,4.80,1.80
Iris virginica,4.90,1.80
Iris virginica,5.60,2.10
Iris virginica,5.80,1.60
Iris virginica,6.10,1.90
Iris virginica,6.40,2.00
Iris virginica,5.60,2.20
Iris virginica,5.10,1.50
Iris virginica,5.60,1.40
Iris virginica,6.10,2.30
Iris virginica,5.60,2.40
Iris virginica,5.50,1.80
Iris virginica,4.80,1.80
Iris virginica,5.40,2.10
Iris virginica,5.60,2.40
Iris virginica,5.10,2.30
Iris virginica,5.10,1.90
Iris virginica,5.90,2.30
Iris virginica,5.70,2.50
Iris virginica,5.20,2.30
Iris virginica,5.00,1.90
Iris virginica,5.20,2.00
Iris virginica,5.40,2.30
Iris virginica,5.10,1.80
